,unnamed,Text,label,intensity
0,0, How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door.,anger,0.938
1,1, So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out,anger,0.896
2,2, DPD_UK I asked for my parcel to be delivered to a pick up store not my address,anger,0.896
3,3, so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep,anger,0.896
4,4," Don't join BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly!",anger,0.896
5,5, My blood is,anger,0.875
6,6, When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us __KirstyGA,anger,0.875
7,7," bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks.",anger,0.875
8,8," TeamShanny legit why i am so furious with him, people are such fucking",anger,0.875
9,9, How is it suppose to work if you do that? Wtf dude? Thanks for pissing me,anger,0.875
10,10, im so mad about power rangers. im incensed. im,anger,0.667
11,11, Wont use using mothercareuk Mothercarehelp again!! These guys cant get nothing right!!,anger,0.854
12,12, Bitches aggravate like what inspires you to be the biggest cunt known to man,anger,0.854
13,13," Why does dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages",anger,0.938
14,14, Fuking fuming,anger,0.854
15,15, Zero help from ups customer service. Just pushing the buck back and forth and promising callbacks that don't happen.,anger,0.854
16,16, ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is,anger,0.854
17,17," I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of",anger,0.833
18,18, why are people so offended by kendall he ends photo shoot like seriously shut the fuck,anger,0.833
19,19, I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit.,anger,0.812
20,20, Making my buddy cry !! Bitch wait for revenge,anger,0.812
21,21, Bes! You don't just tell a true blooded hoopjunkie to switch a f*cn' team that juz destroyed your own team. You juz don't!,anger,0.891
22,22, I got a NO RESPONSE again from an customer of why can't they understand that it's not always amazon fault..,anger,0.812
23,23," Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick!",anger,0.812
24,24," LeKingCoq MistaAggy GiovanniiDC The way my blood is boiling, little",anger,0.792
25,25, Actually fuming I have nothing to wear,anger,0.792
26,26, .DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine.,anger,0.792
27,27, Bloody parking ticket,anger,0.792
28,28, You ever just find that the people around you really irritate you sometimes? That's me right now,anger,0.792
29,29, I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster,anger,0.792
30,30," This fuck you is boiling up inside, its not gonna be good when I let it",anger,0.792
31,31, VodafoneUKhelp VodafoneUK wow!! My bill is Â£44.77 and hav a text from u to prove that and you have taken Â£148!!!!!,anger,0.792
32,32, I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance!,anger,0.792
